ARTIST,TITLE,YEAR,LINK
Diego Velazquez,A Spanish Gentleman Jos Nieto Chamberlain To Queen Mariana Of Austria Wife Of Philip Iv,1635,https://uploads7.wikiart.org/images/diego-velazquez/a-spanish-gentleman-jos-nieto-chamberlain-to-queen-mariana-of-austria-wife-of-philip-iv-1635.jpg!Large.jpg
Jose Maria Velasco,Pe Ascos Del Cerro De Atzacoalco,1874,https://uploads0.wikiart.org/images/jose-maria-velasco/pe-ascos-del-cerro-de-atzacoalco-1874.jpg!Large.jpg
Konstantin Korovin,Winter,1914,https://uploads1.wikiart.org/images/konstantin-korovin/winter-1914.jpg!Large.jpg
Marcel Duchamp,Baptism,1911,https://uploads7.wikiart.org/images/marcel-duchamp/baptism-1911.jpg!Large.jpg
Martiros Saryan,Landscape In Kalaki Gohtan,1914,https://uploads0.wikiart.org/images/martiros-saryan/landscape-in-kalaki-gohtan-1914.jpg!Large.jpg
Boris Kustodiev,Portrait Of I B Kustodieva,1906,https://uploads0.wikiart.org/images/boris-kustodiev/portrait-of-i-b-kustodieva-1906.jpg!Large.jpg
Andrea Mantegna,Madonna And Child With Cherubs,1490,https://uploads4.wikiart.org/images/andrea-mantegna/madonna-and-child-with-cherubs-1490.jpg!Large.jpg
James Mcneill Whistler,Cremorne Gardens No 2,1877,https://uploads2.wikiart.org/images/james-mcneill-whistler/cremorne-gardens-no-2-1877.jpg!Large.jpg
Nicholas Roerich,White Lady,1919,https://uploads2.wikiart.org/images/nicholas-roerich/white-lady-1919.jpg
Jacek Yerka,Wheelbarrows Return,2006,https://uploads6.wikiart.org/images/jacek-yerka/wheelbarrows-return-2006.jpg
Boris Kustodiev,The Guy From Tula,1926,https://uploads0.wikiart.org/images/boris-kustodiev/the-guy-from-tula-1926.jpg!Large.jpg
Magdalena Carmen Frieda Kahlo Y CalderÃ³n De Rivera,My Grandparents My Parents And Me,1936,https://uploads6.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderÃ³n-de-rivera/my-grandparents-my-parents-and-me-1936.jpg!Large.jpg
Pierre Auguste Renoir,Pines In The Vicinity Of Cagnes,1910,https://uploads2.wikiart.org/images/pierre-auguste-renoir/pines-in-the-vicinity-of-cagnes-1910.jpg!Large.jpg
Fernand Leger,Fishermen,1921,https://uploads8.wikiart.org/images/fernand-leger/fishermen-1921.jpg!Large.jpg
Childe Hassam,Yachts Gloucester,1889,https://uploads7.wikiart.org/images/childe-hassam/yachts-gloucester-1889.jpg!Large.jpg
Alfred Sisley,Snow At Louveciennes,1878,https://uploads1.wikiart.org/images/alfred-sisley/snow-at-louveciennes-1878.jpg!Large.jpg
Pierre Auguste Renoir,Bulrushes On The Banks Of The Seine,1874,https://uploads6.wikiart.org/images/pierre-auguste-renoir/bulrushes-on-the-banks-of-the-seine-1874.jpg!Large.jpg
Paul Gauguin,Portrait Of Philibert Favre,1885,https://uploads7.wikiart.org/images/paul-gauguin/portrait-of-philibert-favre-1885.jpg!Large.jpg
Pablo Picasso,Ascet,1903,https://uploads4.wikiart.org/images/pablo-picasso/ascet-1903.jpg!Large.jpg
Egon Schiele,Melon,1905,https://uploads3.wikiart.org/images/egon-schiele/melon-1905.jpg!Large.jpg
Martiros Saryan,A Lilac Bush,1922,https://uploads4.wikiart.org/images/martiros-saryan/a-lilac-bush-1922.jpg!Large.jpg
Camille Pissarro,Sunset With Mist Eragny,1890,https://uploads7.wikiart.org/images/camille-pissarro/sunset-with-mist-eragny-1890.jpg!Large.jpg
Salvador Dali,Venus And Sailor Homage To Salvat Papasseit,1925,https://uploads6.wikiart.org/images/salvador-dali/venus-and-sailor-homage-to-salvat-papasseit-1925.jpg!Large.jpg
Eugene Boudin,Fishing Boats At Sea,1895,https://uploads1.wikiart.org/images/eugene-boudin/fishing-boats-at-sea-1895.jpg!Large.jpg
Victor Vasarely,Dva Dva,1986,https://uploads7.wikiart.org/images/victor-vasarely/dva-dva-1986.jpg
Paul Delvaux,Enigma,1940,https://uploads4.wikiart.org/images/paul-delvaux/enigma-1940.jpg!Large.jpg
L's Lowry,House On The Moor,1950,https://uploads5.wikiart.org/00169/images/l-s-lowry/house-on-the-moor-1950.jpg!Large.jpg
Pierre Auguste Renoir,Landscape Sketch,1917,https://uploads5.wikiart.org/images/pierre-auguste-renoir/landscape-sketch-1917.jpg!Large.jpg
